sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,effective_daily,blend_monthly,system_monthly,effective_monthly,actual_monthly,actual_daily,version_no,version_status
SFDJ503122_2,US SD 谷仓门双顶咖啡桌 一件一箱 颜色->火烧云色,ALL,TIKTOK,D,T4B,1.8890,0.9067,0.9067,58.56,28.11,28.11,39,1.2581,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503122_3,US SD 谷仓门双顶咖啡桌 一件一箱 颜色->白橡纹+卡罗橡纹,ALL,TIKTOK,D,T4B,4.9713,2.0283,2.0283,154.11,62.88,62.88,110,3.5484,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503122_4,US TA 谷仓门双顶咖啡桌 一件一箱 颜色->蓝色+棕色（顶）,ALL,TIKTOK,D,T4B,1.6306,0.7827,0.7827,50.55,24.26,24.26,58,1.8710,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503122_5,US TA 谷仓门双顶咖啡桌 一件一箱 颜色->黑+咖啡胡桃,ALL,TIKTOK,D,T4B,0.5500,0.2640,0.2640,17.05,8.18,8.18,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503122_6,US TA 谷仓门双顶咖啡桌 一件一箱 颜色->白G42014K+仿古樱桃,ALL,TIKTOK,D,T4B,0.4857,0.2331,0.2331,15.06,7.23,7.23,25,0.8065,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503347_2,US SD 1.5米单人桌三抽  一件一箱 颜色->黑色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503440_2,US SD L桌三抽带单玻璃门  一件一箱 颜色->黑麻,ALL,TIKTOK,D,T4B,0.5036,0.2417,0.2417,15.61,7.49,7.49,21,0.6774,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503733_1,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 T 一件一箱,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,56,1.8065,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503733_2,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 TXL 一件一箱,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,15,0.4839,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503733_3,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 F 一件一箱,ALL,TIKTOK,C,T4B,0.3214,0.1543,0.1543,9.96,4.78,4.78,45,1.4516,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503733_4,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 Q  一件一箱,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,35,1.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503855_2,US 带柜门抽屉美式书架 一件一箱 颜色->灰色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503915_1,US HS 抽屉柜 DDBT-02 1x5+2 底座 无把手 一件一箱 颜色->黑色,ALL,TIKTOK,C,T4B,0.3714,0.1783,0.1783,11.51,5.53,5.53,9,0.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503916_2,US HS 抽屉柜 DDBT-03 1x6+2 底座 无把手 一件一箱 颜色->白色,ALL,TIKTOK,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ503917_1,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->火烧云,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504024_1,US 1.2米四抽L桌  一件一箱 颜色->火烧云,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,10,0.3226,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504024_2,US 1.2米四抽L桌  一件一箱 颜色->黑色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,54,1.7419,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504024_3,US 1.2米四抽L桌  一件一箱 颜色->白色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,51,1.6452,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504129_1,US 轻奢风吸塑1m文件柜 一件一箱 颜色->原木色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504259_1,US SD 2.4米双人八抽电脑桌  一件一箱 颜色->火烧云,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504531_2,US SD L桌带文件抽桌面宽470mm 一件一箱 颜色->黑色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504625_2,US 6抽错层亚克力柜门L高桌 一件一箱 颜色->黑色,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504632_3,US SD L桌四抽带一组亚克力门  一件一箱 颜色->黑麻,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504632_3,US SD L桌四抽带一组亚克力门  一件一箱 颜色->黑麻,ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504717_1,US 单人升降桌带竖条凹槽腿 一件一箱 颜色->棕色,ALL,TIKTOK,D,T4B,0.2247,0.1208,0.1208,6.97,3.74,3.74,6,0.1935,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504725_1,US 竖条纹美式铁木L桌 一件一箱 颜色->棕顶+白,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
SFDJ504725_2,US 竖条纹美式铁木L桌 一件一箱 颜色->棕顶+黑,ALL,AMAZON,D,T4B,0.4286,0.2057,0.2057,13.29,6.38,6.38,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
